File,Start Line,End Line,Api,Type,Tips
data/__init__.py,75,75,torch.utils.data.DataLoader,UNSUPPORTED_ADAPTED,"""torch.utils.data.DataLoader"" has no corresponding api in MindSpore, but will be converted to adapted api ""datasets.data_loader"" by x2mindspore."
data/base_dataset.py,89,89,torchvision.transforms.Resize,SUPPORTED,"The corresponding api of ""torchvision.transforms.Resize"" is ""mindspore.dataset.vision.c_transforms.Resize"", will be converted to ""x2ms_adapter.vision_transforms.Resize"" by x2mindspore."
data/base_dataset.py,95,95,torchvision.transforms.RandomCrop,SUPPORTED,"The corresponding api of ""torchvision.transforms.RandomCrop"" is ""mindspore.dataset.vision.c_transforms.RandomCrop"", will be converted to ""v_transforms.RandomCrop"" by x2mindspore."
data/base_dataset.py,104,104,torchvision.transforms.RandomHorizontalFlip,SUPPORTED,"The corresponding api of ""torchvision.transforms.RandomHorizontalFlip"" is ""mindspore.dataset.vision.c_transforms.RandomHorizontalFlip"", will be converted to ""v_transforms.RandomHorizontalFlip"" by x2mindspore."
data/base_dataset.py,109,109,torchvision.transforms.ToTensor,SUPPORTED,"The corresponding api of ""torchvision.transforms.ToTensor"" is ""mindspore.dataset.vision.py_transforms.ToTensor"", will be converted to ""v_transforms.ToTensor"" by x2mindspore."
data/base_dataset.py,111,111,torchvision.transforms.Normalize,SUPPORTED,"The corresponding api of ""torchvision.transforms.Normalize"" is ""mindspore.dataset.vision.c_transforms.Normalize"", will be converted to ""v_transforms.Normalize"" by x2mindspore."
data/base_dataset.py,113,113,torchvision.transforms.Normalize,SUPPORTED,"The corresponding api of ""torchvision.transforms.Normalize"" is ""mindspore.dataset.vision.c_transforms.Normalize"", will be converted to ""v_transforms.Normalize"" by x2mindspore."
data/base_dataset.py,114,114,torchvision.transforms.Compose,SUPPORTED,"The corresponding api of ""torchvision.transforms.Compose"" is ""mindspore.dataset.transforms.c_transforms.Compose"", will be converted to ""transforms.Compose"" by x2mindspore."
data/base_dataset.py,126,126,torchvision.transforms.Resize,SUPPORTED,"The corresponding api of ""torchvision.transforms.Resize"" is ""mindspore.dataset.vision.c_transforms.Resize"", will be converted to ""x2ms_adapter.vision_transforms.Resize"" by x2mindspore."
data/base_dataset.py,133,133,torchvision.transforms.RandomCrop,SUPPORTED,"The corresponding api of ""torchvision.transforms.RandomCrop"" is ""mindspore.dataset.vision.c_transforms.RandomCrop"", will be converted to ""v_transforms.RandomCrop"" by x2mindspore."
