File,Start Line,End Line,Api,Type,Tips
data/image_folder.py,39,39,torch.utils.data.Dataset,SUPPORTED_NOT_ADAPTED,"The corresponding api of ""torch.utils.data.Dataset"" is ""mindspore.dataset.GeneratorDataset"", but has not been adapted in x2mindspore."
data/base_dataset.py,13,13,torch.utils.data.Dataset,SUPPORTED_NOT_ADAPTED,"The corresponding api of ""torch.utils.data.Dataset"" is ""mindspore.dataset.GeneratorDataset"", but has not been adapted in x2mindspore."
data/base_dataset.py,86,86,torchvision.transforms.Grayscale,SUPPORTED_NOT_ADAPTED,"The corresponding api of ""torchvision.transforms.Grayscale"" is ""mindspore.dataset.vision.py_transforms.Grayscale"", but has not been adapted in x2mindspore."
data/base_dataset.py,91,91,torchvision.transforms.Lambda,UNSUPPORTED,"""torchvision.transforms.Lambda"" is not supported."
data/base_dataset.py,97,97,torchvision.transforms.Lambda,UNSUPPORTED,"""torchvision.transforms.Lambda"" is not supported."
data/base_dataset.py,100,100,torchvision.transforms.Lambda,UNSUPPORTED,"""torchvision.transforms.Lambda"" is not supported."
data/base_dataset.py,106,106,torchvision.transforms.Lambda,UNSUPPORTED,"""torchvision.transforms.Lambda"" is not supported."
data/base_dataset.py,119,119,torchvision.transforms.Grayscale,SUPPORTED_NOT_ADAPTED,"The corresponding api of ""torchvision.transforms.Grayscale"" is ""mindspore.dataset.vision.py_transforms.Grayscale"", but has not been adapted in x2mindspore."
data/base_dataset.py,128,128,torchvision.transforms.Lambda,UNSUPPORTED,"""torchvision.transforms.Lambda"" is not supported."
data/base_dataset.py,139,139,torchvision.transforms.Lambda,UNSUPPORTED,"""torchvision.transforms.Lambda"" is not supported."
data/base_dataset.py,145,145,torchvision.transforms.Lambda,UNSUPPORTED,"""torchvision.transforms.Lambda"" is not supported."
data/base_dataset.py,164,164,torchvision.transforms.Lambda,UNSUPPORTED,"""torchvision.transforms.Lambda"" is not supported."
data/base_dataset.py,170,170,torchvision.transforms.Lambda,UNSUPPORTED,"""torchvision.transforms.Lambda"" is not supported."
data/base_dataset.py,173,173,torchvision.transforms.Grayscale,SUPPORTED_NOT_ADAPTED,"The corresponding api of ""torchvision.transforms.Grayscale"" is ""mindspore.dataset.vision.py_transforms.Grayscale"", but has not been adapted in x2mindspore."
data/base_dataset.py,175,175,torchvision.transforms.Lambda,UNSUPPORTED,"""torchvision.transforms.Lambda"" is not supported."
data/base_dataset.py,180,180,torchvision.transforms.Lambda,UNSUPPORTED,"""torchvision.transforms.Lambda"" is not supported."
util/image_pool.py,39,39,torch.unsqueeze,SUPPORTED_NOT_ADAPTED,"The corresponding api of ""torch.unsqueeze"" is ""mindspore.ops.ExpandDims"", but has not been adapted in x2mindspore."
util/util.py,41,41,torch.mean,SUPPORTED_NOT_ADAPTED,"The corresponding api of ""torch.mean"" is ""mindspore.ops.ReduceMean"", but has not been adapted in x2mindspore."
util/util.py,41,41,torch.abs,SUPPORTED_NOT_ADAPTED,"The corresponding api of ""torch.abs"" is ""mindspore.ops.Abs"", but has not been adapted in x2mindspore."
models/template_model.py,64,64,torch.nn.L1Loss,SUPPORTED_NOT_ADAPTED,"The corresponding api of ""torch.nn.L1Loss"" is ""mindspore.nn.L1Loss"", but has not been adapted in x2mindspore."
models/base_model.py,38,38,torch.backends.cudnn.benchmark,UNSUPPORTED,"""torch.backends.cudnn.benchmark"" has no corresponding api in MindSpore, will be deleted by x2mindspore."
models/base_model.py,104,104,torch.no_grad,UNSUPPORTED,"""torch.no_grad"" has no corresponding api in MindSpore, will be deleted by x2mindspore."
models/base_model.py,186,186,torch.nn.DataParallel,UNSUPPORTED,"""torch.nn.DataParallel"" has no corresponding api in MindSpore, will be deleted by x2mindspore."
models/networks.py,33,33,torch.nn.InstanceNorm2d,UNSUPPORTED,"""torch.nn.InstanceNorm2d"" is not supported."
models/networks.py,63,63,torch.optim.lr_scheduler.ReduceLROnPlateau,UNSUPPORTED,"""torch.optim.lr_scheduler.ReduceLROnPlateau"" is not supported."
models/networks.py,89,89,torch.nn.init.xavier_normal_,UNSUPPORTED,"""torch.nn.init.xavier_normal_"" is not supported."
models/networks.py,93,93,torch.nn.init.orthogonal_,UNSUPPORTED,"""torch.nn.init.orthogonal_"" is not supported."
models/networks.py,120,120,torch.nn.DataParallel,UNSUPPORTED,"""torch.nn.DataParallel"" has no corresponding api in MindSpore, will be deleted by x2mindspore."
models/networks.py,138,138,torch.nn.DataParallel,UNSUPPORTED,"""torch.nn.DataParallel"" has no corresponding api in MindSpore, will be deleted by x2mindspore."
models/networks.py,302,302,torch.nn.MSELoss,SUPPORTED_NOT_ADAPTED,"The corresponding api of ""torch.nn.MSELoss"" is ""mindspore.nn.MSELoss"", but has not been adapted in x2mindspore."
models/networks.py,376,376,torch.autograd.grad,SUPPORTED_NOT_ADAPTED,"The corresponding api of ""torch.autograd.grad"" is ""mindspore.ops.GradOperation"", but has not been adapted in x2mindspore."
models/networks.py,394,394,torch.nn.InstanceNorm2d,UNSUPPORTED,"""torch.nn.InstanceNorm2d"" is not supported."
models/networks.py,396,396,torch.nn.InstanceNorm2d,UNSUPPORTED,"""torch.nn.InstanceNorm2d"" is not supported."
models/networks.py,429,429,torch.nn.LeakyReLU,SUPPORTED_NOT_ADAPTED,"The corresponding api of ""torch.nn.LeakyReLU"" is ""mindspore.nn.LeakyReLU"", but has not been adapted in x2mindspore."
