File,Start Line,End Line,Api,Type,Tips
train.py,34,34,torch.nn.Module,SUPPORTED,"The corresponding api of ""torch.nn.Module"" is ""mindspore.nn.Cell"", will be converted to ""nn.Cell"" by x2mindspore."
train.py,39,39,torch.matmul,SUPPORTED,"The corresponding api of ""torch.matmul"" is ""mindspore.nn.MatMul"", will be converted to ""x2ms_adapter.matmul"" by x2mindspore."
train.py,45,45,torch.sum,SUPPORTED,"The corresponding api of ""torch.sum"" is ""mindspore.ops.ReduceSum"", will be converted to ""x2ms_adapter.sum"" by x2mindspore."
train.py,47,47,torch.sum,SUPPORTED,"The corresponding api of ""torch.sum"" is ""mindspore.ops.ReduceSum"", will be converted to ""x2ms_adapter.sum"" by x2mindspore."
train.py,85,85,torch.save,SUPPORTED,"The corresponding api of ""torch.save"" is ""mindspore.save_checkpoint"", will be converted to ""x2ms_adapter.save"" by x2mindspore."
train.py,135,135,torch.zeros,SUPPORTED,"The corresponding api of ""torch.zeros"" is ""mindspore.ops.Zeros"", will be converted to ""x2ms_adapter.zeros"" by x2mindspore."
train.py,136,136,torch.zeros,SUPPORTED,"The corresponding api of ""torch.zeros"" is ""mindspore.ops.Zeros"", will be converted to ""x2ms_adapter.zeros"" by x2mindspore."
train.py,163,163,torch.matmul,SUPPORTED,"The corresponding api of ""torch.matmul"" is ""mindspore.nn.MatMul"", will be converted to ""x2ms_adapter.matmul"" by x2mindspore."
train.py,167,167,torch.sum,SUPPORTED,"The corresponding api of ""torch.sum"" is ""mindspore.ops.ReduceSum"", will be converted to ""x2ms_adapter.sum"" by x2mindspore."
train.py,201,201,torch.utils.tensorboard.SummaryWriter,UNSUPPORTED_ADAPTED,"""torch.utils.tensorboard.SummaryWriter"" has no corresponding api in MindSpore, but will be converted to adapted api ""util_api.SummaryWriter"" by x2mindspore."
train.py,223,223,apex.amp.initialize,UNSUPPORTED_ADAPTED,"""apex.amp.initialize"" has no corresponding api in MindSpore, but will be converted to adapted api ""util_api.amp_initialize"" by x2mindspore."
train.py,234,234,torch.distributed.get_world_size,UNSUPPORTED_ADAPTED,"""torch.distributed.get_world_size"" has no corresponding api in MindSpore, but will be converted to adapted api ""x2ms_adapter.cuda_device_count"" by x2mindspore."
train.py,278,278,torch.nn.utils.clip_grad_norm_,UNSUPPORTED_ADAPTED,"""torch.nn.utils.clip_grad_norm_"" has no corresponding api in MindSpore, but will be converted to adapted api ""util_api.clip_grad_norm"" by x2mindspore."
train.py,278,278,apex.amp.master_params,UNSUPPORTED_ADAPTED,"""apex.amp.master_params"" has no corresponding api in MindSpore, but will be converted to adapted api ""util_api.amp_master_params"" by x2mindspore."
train.py,280,280,torch.nn.utils.clip_grad_norm_,UNSUPPORTED_ADAPTED,"""torch.nn.utils.clip_grad_norm_"" has no corresponding api in MindSpore, but will be converted to adapted api ""util_api.clip_grad_norm"" by x2mindspore."
train.py,384,384,torch.device,UNSUPPORTED_ADAPTED,"""torch.device"" has no corresponding api in MindSpore, but will be converted to adapted api ""x2ms_adapter.Device"" by x2mindspore."
train.py,384,384,torch.cuda.is_available,UNSUPPORTED_ADAPTED,"""torch.cuda.is_available"" has no corresponding api in MindSpore, but will be converted to adapted api ""x2ms_adapter.is_cuda_available"" by x2mindspore."
train.py,385,385,torch.cuda.device_count,SUPPORTED,"The corresponding api of ""torch.cuda.device_count"" is ""mindspore.communication.get_group_size"", will be converted to ""x2ms_adapter.cuda_device_count"" by x2mindspore."
train.py,387,387,torch.cuda.set_device,SUPPORTED,"The corresponding api of ""torch.cuda.set_device"" is ""mindspore.context.set_context"", will be converted to ""x2ms_adapter.cuda_set_device"" by x2mindspore."
train.py,388,388,torch.device,UNSUPPORTED_ADAPTED,"""torch.device"" has no corresponding api in MindSpore, but will be converted to adapted api ""x2ms_adapter.Device"" by x2mindspore."
train.py,389,389,torch.distributed.init_process_group,SUPPORTED,"The corresponding api of ""torch.distributed.init_process_group"" is ""mindspore.communication.init"", will be converted to ""x2ms_adapter.init_process_group"" by x2mindspore."
test.py,69,69,torch.device,UNSUPPORTED_ADAPTED,"""torch.device"" has no corresponding api in MindSpore, but will be converted to adapted api ""x2ms_adapter.Device"" by x2mindspore."
test.py,69,69,torch.cuda.is_available,UNSUPPORTED_ADAPTED,"""torch.cuda.is_available"" has no corresponding api in MindSpore, but will be converted to adapted api ""x2ms_adapter.is_cuda_available"" by x2mindspore."
test.py,70,70,torch.cuda.device_count,SUPPORTED,"The corresponding api of ""torch.cuda.device_count"" is ""mindspore.communication.get_group_size"", will be converted to ""x2ms_adapter.cuda_device_count"" by x2mindspore."
test.py,84,84,torch.load,SUPPORTED,"The corresponding api of ""torch.load"" is ""mindspore.load_checkpoint"", will be converted to ""x2ms_adapter.load"" by x2mindspore."
test.py,95,95,torch.utils.data.DataLoader,UNSUPPORTED_ADAPTED,"""torch.utils.data.DataLoader"" has no corresponding api in MindSpore, but will be converted to adapted api ""datasets.data_loader"" by x2mindspore."
utils/dataloader_usa.py,22,22,torchvision.transforms.Compose,SUPPORTED,"The corresponding api of ""torchvision.transforms.Compose"" is ""mindspore.dataset.transforms.c_transforms.Compose"", will be converted to ""transforms.Compose"" by x2mindspore."
utils/dataloader_usa.py,23,23,torchvision.transforms.Resize,SUPPORTED,"The corresponding api of ""torchvision.transforms.Resize"" is ""mindspore.dataset.vision.c_transforms.Resize"", will be converted to ""x2ms_adapter.vision_transforms.Resize"" by x2mindspore."
utils/dataloader_usa.py,24,24,torchvision.transforms.ToTensor,SUPPORTED,"The corresponding api of ""torchvision.transforms.ToTensor"" is ""mindspore.dataset.vision.py_transforms.ToTensor"", will be converted to ""v_transforms.ToTensor"" by x2mindspore."
utils/dataloader_usa.py,25,25,torchvision.transforms.Normalize,SUPPORTED,"The corresponding api of ""torchvision.transforms.Normalize"" is ""mindspore.dataset.vision.c_transforms.Normalize"", will be converted to ""v_transforms.Normalize"" by x2mindspore."
utils/dataloader_usa.py,27,27,torchvision.transforms.Compose,SUPPORTED,"The corresponding api of ""torchvision.transforms.Compose"" is ""mindspore.dataset.transforms.c_transforms.Compose"", will be converted to ""transforms.Compose"" by x2mindspore."
utils/dataloader_usa.py,28,28,torchvision.transforms.Resize,SUPPORTED,"The corresponding api of ""torchvision.transforms.Resize"" is ""mindspore.dataset.vision.c_transforms.Resize"", will be converted to ""x2ms_adapter.vision_transforms.Resize"" by x2mindspore."
utils/dataloader_usa.py,29,29,torchvision.transforms.ToTensor,SUPPORTED,"The corresponding api of ""torchvision.transforms.ToTensor"" is ""mindspore.dataset.vision.py_transforms.ToTensor"", will be converted to ""v_transforms.ToTensor"" by x2mindspore."
utils/dataloader_usa.py,30,30,torchvision.transforms.Normalize,SUPPORTED,"The corresponding api of ""torchvision.transforms.Normalize"" is ""mindspore.dataset.vision.c_transforms.Normalize"", will be converted to ""v_transforms.Normalize"" by x2mindspore."
utils/dataloader_usa.py,81,81,torchvision.transforms.Compose,SUPPORTED,"The corresponding api of ""torchvision.transforms.Compose"" is ""mindspore.dataset.transforms.c_transforms.Compose"", will be converted to ""transforms.Compose"" by x2mindspore."
utils/dataloader_usa.py,82,82,torchvision.transforms.Resize,SUPPORTED,"The corresponding api of ""torchvision.transforms.Resize"" is ""mindspore.dataset.vision.c_transforms.Resize"", will be converted to ""x2ms_adapter.vision_transforms.Resize"" by x2mindspore."
utils/dataloader_usa.py,83,83,torchvision.transforms.ToTensor,SUPPORTED,"The corresponding api of ""torchvision.transforms.ToTensor"" is ""mindspore.dataset.vision.py_transforms.ToTensor"", will be converted to ""v_transforms.ToTensor"" by x2mindspore."
utils/dataloader_usa.py,84,84,torchvision.transforms.Normalize,SUPPORTED,"The corresponding api of ""torchvision.transforms.Normalize"" is ""mindspore.dataset.vision.c_transforms.Normalize"", will be converted to ""v_transforms.Normalize"" by x2mindspore."
utils/dataloader_usa.py,86,86,torchvision.transforms.Compose,SUPPORTED,"The corresponding api of ""torchvision.transforms.Compose"" is ""mindspore.dataset.transforms.c_transforms.Compose"", will be converted to ""transforms.Compose"" by x2mindspore."
utils/dataloader_usa.py,87,87,torchvision.transforms.Resize,SUPPORTED,"The corresponding api of ""torchvision.transforms.Resize"" is ""mindspore.dataset.vision.c_transforms.Resize"", will be converted to ""x2ms_adapter.vision_transforms.Resize"" by x2mindspore."
utils/dataloader_usa.py,88,88,torchvision.transforms.ToTensor,SUPPORTED,"The corresponding api of ""torchvision.transforms.ToTensor"" is ""mindspore.dataset.vision.py_transforms.ToTensor"", will be converted to ""v_transforms.ToTensor"" by x2mindspore."
utils/dataloader_usa.py,89,89,torchvision.transforms.Normalize,SUPPORTED,"The corresponding api of ""torchvision.transforms.Normalize"" is ""mindspore.dataset.vision.c_transforms.Normalize"", will be converted to ""v_transforms.Normalize"" by x2mindspore."
